frame,z,y,x
0,48,47,224
0,56,144,224
0,34,7,224
0,58,10,224
0,8,11,84
0,36,16,150
0,26,233,99
0,18,104,85
0,38,249,198
0,32,41,129
0,48,238,190
0,52,137,174
0,8,225,54
0,36,94,131
0,8,37,77
0,48,188,158
0,20,143,84
0,46,32,174
0,36,217,119
0,48,103,172
0,22,224,110
0,44,103,189
0,35,144,125
0,12,143,97
0,18,20,104
0,35,192,121
0,14,167,69
0,26,153,97
0,10,111,70
0,58,183,169
0,12,191,60
0,24,62,109
0,50,234,172
0,40,96,219
0,8,72,72
0,14,64,82
0,20,180,84
0,14,215,67
0,58,88,211
0,12,103,101
0,16,175,103
0,59,167,242
0,36,122,132
0,7,121,56
0,5,63,126
0,25,120,101
0,6,199,47
0,41,7,173
0,7,79,104
0,55,56,199
0,46,163,158
0,8,25,106
0,19,47,94
0,23,32,150
0,47,41,188
0,31,185,158
0,54,127,186
0,8,157,61
0,26,112,130
0,27,207,101
0,44,203,147
0,32,137,188
0,22,86,93
0,32,176,136
0,59,99,249
0,27,93,114
0,52,88,215
0,43,105,157
0,14,39,87
0,16,244,115
0,53,160,211
0,44,241,153
0,40,56,164
0,57,241,191
0,50,183,201
0,13,141,73
0,29,173,103
0,14,11,129
0,37,216,162
0,25,184,117
0,46,139,160
0,50,191,249
0,41,177,142
0,56,209,186
0,30,216,129
0,10,185,95
0,37,245,151
0,13,162,86
0,22,250,89
0,43,199,173
0,36,251,122
0,9,207,85
0,47,145,192
0,5,49,98
0,23,47,181
0,35,201,145
0,31,247,146
0,45,13,191
0,50,127,205
0,54,99,190
0,28,9,145
0,53,18,205
0,25,37,119
0,15,57,112
0,40,105,175
0,20,159,117
0,45,79,198
0,57,199,242
0,27,137,127
0,13,33,134
0,29,104,147
0,22,123,159
0,34,69,131
0,36,122,157
0,12,87,63
0,26,199,162
0,41,53,147
0,54,117,234
0,47,19,220
0,29,47,163
0,38,167,158
0,6,179,80
0,41,135,185
0,54,145,244
0,16,232,95
0,20,53,136
0,22,207,73
0,25,225,136
0,38,13,194
0,55,207,210
0,41,228,133
1,48,48,224
1,40,104,224
1,35,17,224
1,57,151,225
1,4,152,112
1,10,12,86
1,18,104,85
1,8,39,78
1,36,16,149
1,48,241,187
1,28,237,103
1,14,217,69
1,36,145,126
1,48,192,160
1,34,45,132
1,8,127,56
1,24,55,182
1,30,175,106
1,46,31,176
1,36,94,133
1,48,46,192
1,21,183,86
1,20,24,106
1,8,201,52
1,8,73,75
1,47,167,159
1,13,192,65
1,50,184,206
1,22,224,111
1,44,209,148
1,4,65,125
1,20,51,94
1,20,145,83
1,47,143,163
1,8,80,106
1,59,185,171
1,34,71,133
1,28,95,117
1,12,113,72
1,37,223,122
1,25,62,111
1,58,11,227
1,27,153,97
1,42,235,135
1,23,128,161
1,23,88,95
1,15,169,70
1,21,4,119
1,49,104,175
1,14,143,97
1,46,15,194
1,59,103,250
1,42,9,175
1,26,40,122
1,44,102,191
1,52,138,175
1,17,251,114
1,50,127,207
1,36,207,147
1,50,194,250
1,10,231,58
1,16,63,114
1,35,197,120
1,26,121,103
1,13,167,89
1,54,120,234
1,44,105,160
1,14,141,75
1,37,123,134
1,15,67,84
1,14,104,106
1,28,212,103
1,48,22,223
1,15,15,132
1,32,189,162
1,44,192,197
1,51,239,174
1,14,39,90
1,55,127,188
1,58,247,194
1,59,91,214
1,9,161,62
1,49,224,197
1,31,251,148
1,26,189,119
1,10,211,87
1,56,61,203
1,37,223,163
1,15,237,95
1,47,145,194
1,4,223,51
1,55,103,195
1,42,182,143
1,28,141,129
1,5,51,98
1,40,57,163
1,31,217,131
1,52,89,218
1,54,144,245
1,30,11,147
1,56,73,232
1,44,47,173
1,18,182,103
1,22,57,139
1,12,87,63
1,48,215,214
1,44,248,154
1,37,250,152
1,27,119,132
1,33,141,192
1,42,57,150
1,56,209,187
1,40,109,178
1,4,155,48
1,37,126,157
1,54,23,209
1,26,233,138
1,47,95,150
1,44,205,173
1,36,119,187
1,22,161,112
1,46,169,195
1,23,37,153
1,32,29,142
1,46,79,200
1,26,201,161
1,9,29,107
1,58,201,242
1,23,207,75
1,59,142,203
1,10,189,98
1,39,15,195
1,53,161,212
1,33,177,139
1,56,46,219
1,31,107,147
1,55,207,210
1,4,87,90
1,7,183,84
2,58,151,224
2,42,111,225
2,48,23,224
2,48,50,223
2,36,21,223
2,16,222,72
2,38,95,134
2,20,106,85
2,48,144,164
2,48,167,159
2,6,65,127
2,11,12,90
2,58,9,226
2,48,15,197
2,24,225,113
2,38,223,122
2,36,199,121
2,23,184,87
2,8,128,56
2,16,71,85
2,31,176,107
2,14,193,66
2,36,72,135
2,10,231,59
2,35,46,135
2,26,61,110
2,24,87,96
2,54,167,214
2,11,31,110
2,48,191,159
2,16,103,110
2,38,16,150
2,50,104,177
2,38,121,135
2,24,5,122
2,16,171,69
2,24,32,155
2,9,206,56
2,10,38,83
2,37,145,127
2,4,97,61
2,42,7,177
2,47,31,175
2,22,25,108
2,36,208,147
2,10,73,75
2,27,157,97
2,21,145,82
2,56,128,190
2,7,158,117
2,26,56,185
2,4,224,52
2,32,191,162
2,16,63,116
2,45,99,191
2,53,137,177
2,15,143,75
2,29,241,106
2,15,169,90
2,17,17,136
2,20,53,97
2,42,183,142
2,6,130,79
2,28,41,122
2,29,216,105
2,45,209,146
2,56,57,204
2,52,239,177
2,50,128,204
2,47,145,195
2,12,117,71
2,59,190,171
2,47,72,203
2,31,217,130
2,31,251,146
2,32,11,150
2,48,242,186
2,6,159,50
2,6,53,98
2,27,207,164
2,27,120,103
2,24,129,163
2,38,250,153
2,10,161,64
2,43,61,154
2,51,185,206
2,35,146,193
2,6,87,90
2,29,143,126
2,16,39,92
2,56,103,196
2,58,45,221
2,38,223,164
2,29,93,118
2,49,47,194
2,26,189,120
2,57,71,234
2,15,145,100
2,12,191,99
2,50,198,249
2,9,81,108
2,33,31,146
2,55,122,234
2,11,215,90
2,4,191,70
2,26,119,133
2,45,249,154
2,37,127,155
2,47,168,198
2,57,215,187
2,42,239,134
2,45,107,162
2,7,152,83
2,59,251,197
2,31,105,146
2,50,224,195
2,55,209,209
2,41,109,177
2,29,55,160
2,48,95,150
2,8,185,85
2,16,240,98
2,55,23,210
2,48,215,214
2,42,142,180
2,30,10,169
2,55,148,245
2,40,173,162
2,40,14,198
2,15,39,142
2,59,233,234
2,8,232,79
2,34,177,142
2,44,43,173
2,42,61,167
2,14,87,65
2,19,185,105
2,20,121,111
3,18,224,77
3,54,96,223
3,32,175,112
3,16,71,88
3,36,24,225
3,40,223,166
3,12,14,93
3,48,169,164
3,24,40,157
3,24,184,92
3,12,40,87
3,40,251,207
3,39,96,143
3,16,143,78
3,58,46,224
3,10,207,59
3,27,63,117
3,44,64,157
3,24,87,101
3,12,32,114
3,48,16,201
3,11,234,63
3,36,199,123
3,14,193,69
3,32,216,135
3,37,49,142
3,8,166,120
3,39,225,129
3,9,130,59
3,10,79,78
3,12,215,93
3,49,151,198
3,28,157,100
3,24,136,165
3,42,111,225
3,18,17,143
3,10,80,111
3,28,121,135
3,54,141,183
3,16,105,110
3,6,55,101
3,36,152,199
3,25,5,127
3,50,193,163
3,30,217,109
3,43,7,181
3,21,109,87
3,52,106,182
3,22,53,100
3,34,31,150
3,5,225,54
3,38,15,153
3,58,134,196
3,59,11,232
3,27,191,123
3,38,149,133
3,22,145,85
3,24,29,113
3,59,191,175
3,37,127,156
3,27,233,142
3,30,45,126
3,32,251,148
3,17,173,74
3,28,208,166
3,56,151,250
3,31,243,112
3,41,111,182
3,37,207,150
3,48,72,211
3,46,102,196
3,46,214,150
3,34,31,175
3,11,161,67
3,50,47,195
3,44,41,173
3,58,216,193
3,37,73,140
3,56,127,240
3,59,157,226
3,43,63,173
3,32,105,147
3,7,71,130
3,39,251,158
3,6,131,82
3,33,185,164
3,5,101,64
3,49,23,226
3,49,149,168
3,17,39,98
3,8,153,85
3,13,119,74
3,4,193,75
3,27,56,190
3,32,11,152
3,53,241,182
3,39,123,140
3,24,63,141
3,7,160,53
3,47,30,179
3,4,65,65
3,43,185,146
3,30,94,124
3,56,23,214
3,47,168,199
3,56,215,214
3,28,125,108
3,18,65,119
3,15,147,103
3,58,109,206
3,6,89,94
3,46,251,158
3,46,111,167
3,8,233,83
3,15,173,93
3,57,59,206
3,50,246,190
3,8,183,89
3,31,13,174
3,22,167,121
3,6,46,76
3,55,173,222
3,52,129,211
3,49,202,246
3,14,87,67
3,24,80,149
3,45,207,180
3,16,42,144
3,29,167,143
3,58,71,236
3,44,246,139
3,30,149,128
3,35,177,146
3,30,62,163
3,24,231,117
3,51,191,206
3,50,55,227
3,43,145,185
3,24,209,79
3,41,175,169
4,56,176,224
4,8,72,135
4,54,95,224
4,6,224,55
4,16,40,150
4,14,15,95
4,14,40,92
4,18,72,92
4,32,175,115
4,48,224,224
4,28,192,126
4,12,236,65
4,32,222,112
4,29,63,119
4,16,105,111
4,8,56,102
4,12,216,93
4,30,127,113
4,34,192,167
4,48,16,204
4,22,111,92
4,16,199,74
4,44,9,187
4,12,80,82
4,4,9,82
4,7,103,66
4,11,134,63
4,38,201,129
4,32,95,130
4,40,127,145
4,41,224,172
4,32,247,116
4,18,145,84
4,32,49,131
4,23,55,106
4,39,151,138
4,24,137,167
4,52,136,221
4,8,48,79
4,41,101,151
