frame,z,y,x
0,41,7,173
0,48,101,171
0,20,179,83
0,51,137,175
0,8,12,83
0,17,104,84
0,35,92,130
0,13,141,72
0,46,163,159
0,55,170,186
0,24,62,108
0,56,145,223
0,8,226,54
0,27,94,113
0,54,57,198
0,26,233,99
0,48,188,158
0,32,41,129
0,57,9,224
0,44,11,190
0,34,145,124
0,28,10,145
0,44,203,147
0,26,153,97
0,55,42,216
0,18,46,95
0,7,36,76
0,13,213,65
0,58,137,202
0,36,16,149
0,36,125,132
0,36,217,119
0,25,38,121
0,27,208,101
0,46,42,188
0,54,99,190
0,56,242,190
0,40,52,146
0,36,123,156
0,45,31,174
0,58,99,249
0,18,20,104
0,12,192,59
0,33,68,131
0,35,193,121
0,49,179,200
0,39,55,162
0,58,89,211
0,40,228,132
0,43,242,153
0,50,209,171
0,48,238,189
0,7,73,70
0,29,215,129
0,52,18,205
0,46,140,162
0,43,104,159
0,44,104,189
0,41,178,142
0,58,182,169
0,36,244,151
0,6,121,56
0,50,236,173
0,10,110,70
0,29,174,104
0,21,222,110
0,7,26,106
0,55,208,184
0,12,163,86
0,14,166,68
0,12,102,101
0,33,217,162
0,21,85,92
0,25,123,101
0,51,89,215
0,6,198,48
0,49,125,205
0,7,157,60
0,20,159,117
0,13,67,81
0,31,176,137
0,22,75,156
0,46,147,191
0,24,183,115
0,42,197,172
0,6,80,104
0,39,106,175
0,37,68,185
0,30,186,159
0,19,53,136
0,53,117,235
0,25,113,128
0,16,243,115
0,40,134,185
0,11,141,96
0,26,163,140
0,34,201,144
0,45,167,195
0,11,85,62
0,8,206,85
0,28,104,147
0,13,10,129
0,22,30,150
0,28,46,163
0,53,148,243
0,14,56,111
0,56,197,243
0,44,79,198
0,5,179,80
0,16,174,103
0,9,186,95
0,20,74,139
0,12,34,134
0,21,120,159
0,31,137,186
0,30,22,172
0,15,229,95
0,23,44,181
0,34,7,223
0,36,140,165
0,15,201,106
0,46,19,218
0,39,97,217
1,41,8,175
1,21,183,85
1,49,103,174
1,18,105,85
1,25,60,112
1,13,141,74
1,52,139,176
1,9,13,86
1,27,237,102
1,28,95,117
1,36,93,132
1,46,165,159
1,58,142,203
1,55,175,190
1,48,191,160
1,55,61,202
1,29,9,146
1,26,154,97
1,9,230,57
1,33,43,132
1,48,45,192
1,46,14,193
1,37,126,134
1,56,149,224
1,44,210,148
1,19,51,95
1,26,41,122
1,41,58,150
1,36,16,149
1,28,213,104
1,20,26,107
1,56,44,218
1,44,248,153
1,36,148,128
1,36,221,121
1,8,39,78
1,36,125,157
1,14,217,68
1,58,12,228
1,57,247,193
1,34,70,133
1,30,218,130
1,41,235,134
1,34,196,119
1,41,181,143
1,46,31,176
1,36,249,152
1,40,57,163
1,47,143,163
1,55,103,195
1,48,241,186
1,50,214,170
1,21,161,112
1,12,193,63
1,50,183,206
1,8,74,73
1,44,100,190
1,7,126,56
1,22,224,111
1,11,113,72
1,29,176,105
1,53,23,209
1,43,105,161
1,50,239,176
1,58,185,170
1,22,88,95
1,21,58,138
1,36,221,163
1,13,104,106
1,14,169,69
1,32,178,139
1,14,67,83
1,7,202,52
1,55,210,185
1,26,124,104
1,13,168,88
1,44,49,175
1,8,161,61
1,31,189,162
1,50,127,207
1,25,188,119
1,28,142,128
1,8,29,107
1,46,147,194
1,7,82,105
1,40,108,177
1,45,169,196
1,25,231,138
1,26,117,131
1,27,163,141
1,28,12,162
1,43,204,172
1,35,206,146
1,22,40,152
1,17,248,114
1,11,87,62
1,48,46,222
1,13,143,97
1,35,117,186
1,10,213,89
1,54,129,187
1,15,14,132
1,38,69,185
1,28,52,163
1,53,164,212
1,5,232,77
1,54,144,244
1,12,35,139
1,54,118,235
1,15,62,113
1,30,107,146
1,22,84,157
1,22,127,161
1,21,80,140
1,17,180,103
1,10,189,98
1,28,96,163
1,26,201,161
1,33,141,191
1,6,183,84
1,45,80,201
1,50,223,196
1,35,14,225
1,24,51,183
1,32,25,172
1,40,104,223
1,14,236,94
1,36,141,168
1,16,207,107
2,42,7,176
2,19,106,85
2,22,184,87
2,25,59,110
2,50,104,176
2,28,241,106
2,37,95,134
2,11,13,89
2,14,142,73
2,53,139,179
2,31,9,149
2,9,231,59
2,47,166,159
2,26,156,96
2,55,58,202
2,29,94,118
2,35,45,137
2,37,222,122
2,58,9,226
2,49,44,194
2,48,190,159
2,47,14,196
2,29,219,105
2,43,59,153
2,36,72,136
2,19,52,96
2,37,124,135
2,21,26,108
2,44,211,146
2,10,37,83
2,56,175,192
2,57,150,223
2,35,199,120
2,42,240,134
2,5,157,49
2,27,43,122
2,46,30,175
2,36,147,127
2,44,249,153
2,41,182,141
2,16,221,72
2,33,28,145
2,36,126,154
2,13,193,64
2,57,44,220
2,49,244,186
2,30,218,130
2,56,103,196
2,51,212,172
2,54,24,209
2,41,59,166
2,48,145,165
2,9,76,73
2,8,128,56
2,51,184,205
2,21,162,117
2,15,171,68
2,44,99,191
2,44,106,162
2,5,131,79
2,30,176,107
2,12,117,71
2,38,221,164
2,56,214,185
2,14,170,89
2,26,188,120
2,23,87,96
2,52,92,217
2,32,190,162
2,26,122,103
2,58,189,171
2,15,70,84
2,44,42,173
2,33,178,142
2,11,31,111
2,8,205,55
2,21,62,140
2,50,127,203
2,10,162,64
2,15,104,109
2,28,145,124
2,46,168,199
2,9,83,108
2,46,146,194
2,40,108,176
2,54,149,244
2,26,230,139
2,5,51,98
2,28,164,140
2,35,208,146
2,16,18,136
2,54,168,215
2,30,9,168
2,26,118,131
2,54,123,235
2,14,147,99
2,28,53,160
2,23,84,151
2,11,214,89
2,38,67,187
2,23,33,154
2,7,231,78
2,48,53,222
2,16,63,115
2,30,105,145
2,23,78,142
2,41,142,180
2,6,154,83
2,14,37,142
2,46,72,202
2,24,128,163
2,18,185,105
2,12,191,98
2,6,158,116
2,5,65,127
2,8,188,86
2,58,232,235
2,29,96,165
2,34,146,192
2,32,28,171
2,42,112,227
2,27,204,164
2,35,20,221
2,26,55,185
2,15,239,98
2,48,19,223
2,36,144,165
3,42,8,181
3,20,108,87
3,23,184,91
3,12,14,92
3,15,143,77
3,51,106,181
3,10,234,62
3,54,142,184
3,27,62,117
3,48,169,164
3,30,243,111
3,27,157,100
3,32,10,152
3,38,96,141
3,21,53,100
3,36,49,143
3,30,93,124
3,45,215,149
3,56,60,206
3,30,217,109
3,5,100,64
3,43,248,138
3,11,40,87
3,23,29,113
3,38,124,140
3,47,16,200
3,49,194,162
3,50,45,196
3,6,159,52
3,38,227,128
3,29,45,126
3,17,224,76
3,36,199,123
3,43,62,156
3,38,149,134
3,36,74,141
3,14,194,68
3,46,28,178
3,36,128,155
3,58,108,206
3,52,216,177
3,34,31,151
3,31,216,134
3,57,45,224
3,43,184,146
3,49,247,191
3,8,130,58
3,10,77,78
3,16,172,73
3,42,60,172
3,58,154,226
3,24,230,116
3,49,149,169
3,55,21,214
3,56,190,192
3,51,188,204
3,44,41,173
3,31,176,112
3,46,101,195
3,23,64,141
