frame,z,y,x,z_um,y_um,x_um,tree_id,track_id
0,41,7,173,66.625,2.84375,70.28125,0,0
0,48,101,171,78.0,41.03125,69.46875,1,1
0,20,179,83,32.5,72.71875,33.71875,2,2
0,51,137,175,82.875,55.65625,71.09375,3,3
0,8,12,83,13.0,4.875,33.71875,4,4
0,17,104,84,27.625,42.25,34.125,5,5
0,35,92,130,56.875,37.375,52.8125,6,6
0,13,141,72,21.125,57.28125,29.25,7,7
0,46,163,159,74.75,66.21875,64.59375,8,8
0,55,170,186,89.375,69.0625,75.5625,9,9
0,24,62,108,39.0,25.1875,43.875,10,10
0,56,145,223,91.0,58.90625,90.59375,11,11
0,8,226,54,13.0,91.8125,21.9375,12,12
0,27,94,113,43.875,38.1875,45.90625,13,13
0,54,57,198,87.75,23.15625,80.4375,14,14
0,26,233,99,42.25,94.65625,40.21875,15,15
0,48,188,158,78.0,76.375,64.1875,16,16
0,32,41,129,52.0,16.65625,52.40625,17,17
0,57,9,224,92.625,3.65625,91.0,18,18
0,44,11,190,71.5,4.46875,77.1875,19,19
0,34,145,124,55.25,58.90625,50.375,20,20
0,28,10,145,45.5,4.0625,58.90625,21,21
0,44,203,147,71.5,82.46875,59.71875,22,22
0,26,153,97,42.25,62.15625,39.40625,23,23
0,55,42,216,89.375,17.0625,87.75,24,24
0,18,46,95,29.25,18.6875,38.59375,25,25
0,7,36,76,11.375,14.625,30.875,26,26
0,13,213,65,21.125,86.53125,26.40625,27,27
0,58,137,202,94.25,55.65625,82.0625,28,28
0,36,16,149,58.5,6.5,60.53125,29,29
0,36,125,132,58.5,50.78125,53.625,30,30
0,36,217,119,58.5,88.15625,48.34375,31,31
0,25,38,121,40.625,15.4375,49.15625,32,32
0,27,208,101,43.875,84.5,41.03125,33,33
0,46,42,188,74.75,17.0625,76.375,34,34
0,54,99,190,87.75,40.21875,77.1875,35,35
0,56,242,190,91.0,98.3125,77.1875,36,36
0,40,52,146,65.0,21.125,59.3125,37,37
0,36,123,156,58.5,49.96875,63.375,38,38
0,45,31,174,73.125,12.59375,70.6875,39,39
0,58,99,249,94.25,40.21875,101.15625,40,40
0,18,20,104,29.25,8.125,42.25,41,41
0,12,192,59,19.5,78.0,23.96875,42,42
0,33,68,131,53.625,27.625,53.21875,43,43
0,35,193,121,56.875,78.40625,49.15625,44,44
0,49,179,200,79.625,72.71875,81.25,45,45
0,39,55,162,63.375,22.34375,65.8125,46,46
0,58,89,211,94.25,36.15625,85.71875,47,47
0,40,228,132,65.0,92.625,53.625,48,48
0,43,242,153,69.875,98.3125,62.15625,49,49
0,50,209,171,81.25,84.90625,69.46875,50,50
0,48,238,189,78.0,96.6875,76.78125,51,51
0,7,73,70,11.375,29.65625,28.4375,52,52
0,29,215,129,47.125,87.34375,52.40625,53,53
0,52,18,205,84.5,7.3125,83.28125,54,54
0,46,140,162,74.75,56.875,65.8125,55,55
0,43,104,159,69.875,42.25,64.59375,56,56
0,44,104,189,71.5,42.25,76.78125,57,57
0,41,178,142,66.625,72.3125,57.6875,58,58
0,58,182,169,94.25,73.9375,68.65625,59,59
0,36,244,151,58.5,99.125,61.34375,60,60
0,6,121,56,9.75,49.15625,22.75,61,61
0,50,236,173,81.25,95.875,70.28125,62,62
0,10,110,70,16.25,44.6875,28.4375,63,63
0,29,174,104,47.125,70.6875,42.25,64,64
0,21,222,110,34.125,90.1875,44.6875,65,65
0,7,26,106,11.375,10.5625,43.0625,66,66
0,55,208,184,89.375,84.5,74.75,67,67
0,12,163,86,19.5,66.21875,34.9375,68,68
0,14,166,68,22.75,67.4375,27.625,69,69
0,12,102,101,19.5,41.4375,41.03125,70,70
0,33,217,162,53.625,88.15625,65.8125,71,71
0,21,85,92,34.125,34.53125,37.375,72,72
0,25,123,101,40.625,49.96875,41.03125,73,73
0,51,89,215,82.875,36.15625,87.34375,74,74
0,6,198,48,9.75,80.4375,19.5,75,75
0,49,125,205,79.625,50.78125,83.28125,76,76
0,7,157,60,11.375,63.78125,24.375,77,77
0,20,159,117,32.5,64.59375,47.53125,78,78
0,13,67,81,21.125,27.21875,32.90625,79,79
0,31,176,137,50.375,71.5,55.65625,80,80
0,22,75,156,35.75,30.46875,63.375,81,81
0,46,147,191,74.75,59.71875,77.59375,82,82
0,24,183,115,39.0,74.34375,46.71875,83,83
0,42,197,172,68.25,80.03125,69.875,84,84
0,6,80,104,9.75,32.5,42.25,85,85
0,39,106,175,63.375,43.0625,71.09375,86,86
0,37,68,185,60.125,27.625,75.15625,87,87
0,30,186,159,48.75,75.5625,64.59375,88,88
0,19,53,136,30.875,21.53125,55.25,89,89
0,53,117,235,86.125,47.53125,95.46875,90,90
0,25,113,128,40.625,45.90625,52.0,91,91
0,16,243,115,26.0,98.71875,46.71875,92,92
0,40,134,185,65.0,54.4375,75.15625,93,93
0,11,141,96,17.875,57.28125,39.0,94,94
0,26,163,140,42.25,66.21875,56.875,95,95
0,34,201,144,55.25,81.65625,58.5,96,96
0,45,167,195,73.125,67.84375,79.21875,97,97
0,11,85,62,17.875,34.53125,25.1875,98,98
0,8,206,85,13.0,83.6875,34.53125,99,99
0,28,104,147,45.5,42.25,59.71875,100,100
0,13,10,129,21.125,4.0625,52.40625,101,101
0,22,30,150,35.75,12.1875,60.9375,102,102
0,28,46,163,45.5,18.6875,66.21875,103,103
0,53,148,243,86.125,60.125,98.71875,104,104
0,14,56,111,22.75,22.75,45.09375,105,105
0,56,197,243,91.0,80.03125,98.71875,106,106
0,44,79,198,71.5,32.09375,80.4375,107,107
0,5,179,80,8.125,72.71875,32.5,108,108
0,16,174,103,26.0,70.6875,41.84375,109,109
0,9,186,95,14.625,75.5625,38.59375,110,110
0,20,74,139,32.5,30.0625,56.46875,111,111
0,12,34,134,19.5,13.8125,54.4375,112,112
0,21,120,159,34.125,48.75,64.59375,113,113
0,31,137,186,50.375,55.65625,75.5625,114,114
0,30,22,172,48.75,8.9375,69.875,115,115
0,15,229,95,24.375,93.03125,38.59375,116,116
0,23,44,181,37.375,17.875,73.53125,117,117
0,34,7,223,55.25,2.84375,90.59375,118,118
0,36,140,165,58.5,56.875,67.03125,119,119
0,15,201,106,24.375,81.65625,43.0625,120,120
0,46,19,218,74.75,7.71875,88.5625,121,121
0,39,97,217,63.375,39.40625,88.15625,122,122
1,41,8,175,66.625,3.25,71.09375,0,0
1,21,183,85,34.125,74.34375,34.53125,2,2
1,49,103,174,79.625,41.84375,70.6875,1,1
1,18,105,85,29.25,42.65625,34.53125,5,5
1,25,60,112,40.625,24.375,45.5,10,10
1,13,141,74,21.125,57.28125,30.0625,7,7
1,52,139,176,84.5,56.46875,71.5,3,3
1,9,13,86,14.625,5.28125,34.9375,4,4
1,27,237,102,43.875,96.28125,41.4375,15,15
1,28,95,117,45.5,38.59375,47.53125,13,13
1,36,93,132,58.5,37.78125,53.625,6,6
1,46,165,159,74.75,67.03125,64.59375,8,8
1,58,142,203,94.25,57.6875,82.46875,28,28
1,55,175,190,89.375,71.09375,77.1875,9,9
1,48,191,160,78.0,77.59375,65.0,16,16
1,55,61,202,89.375,24.78125,82.0625,14,14
1,29,9,146,47.125,3.65625,59.3125,21,21
1,26,154,97,42.25,62.5625,39.40625,23,23
1,9,230,57,14.625,93.4375,23.15625,12,12
1,33,43,132,53.625,17.46875,53.625,17,17
1,48,45,192,78.0,18.28125,78.0,34,123
1,46,14,193,74.75,5.6875,78.40625,19,19
1,37,126,134,60.125,51.1875,54.4375,30,30
1,56,149,224,91.0,60.53125,91.0,11,11
1,44,210,148,71.5,85.3125,60.125,22,22
1,19,51,95,30.875,20.71875,38.59375,25,25
1,26,41,122,42.25,16.65625,49.5625,32,32
1,41,58,150,66.625,23.5625,60.9375,37,37
1,36,16,149,58.5,6.5,60.53125,29,29
1,28,213,104,45.5,86.53125,42.25,33,33
1,20,26,107,32.5,10.5625,43.46875,41,41
1,56,44,218,91.0,17.875,88.5625,24,24
1,44,248,153,71.5,100.75,62.15625,49,49
1,36,148,128,58.5,60.125,52.0,20,20
1,36,221,121,58.5,89.78125,49.15625,31,31
1,8,39,78,13.0,15.84375,31.6875,26,26
1,36,125,157,58.5,50.78125,63.78125,38,38
1,14,217,68,22.75,88.15625,27.625,27,27
1,58,12,228,94.25,4.875,92.625,18,18
1,57,247,193,92.625,100.34375,78.40625,36,36
1,34,70,133,55.25,28.4375,54.03125,43,43
1,30,218,130,48.75,88.5625,52.8125,53,53
1,41,235,134,66.625,95.46875,54.4375,48,48
1,34,196,119,55.25,79.625,48.34375,44,44
1,41,181,143,66.625,73.53125,58.09375,58,58
1,46,31,176,74.75,12.59375,71.5,39,39
1,36,249,152,58.5,101.15625,61.75,60,60
1,40,57,163,65.0,23.15625,66.21875,46,46
1,47,143,163,76.375,58.09375,66.21875,55,55
1,55,103,195,89.375,41.84375,79.21875,35,35
1,48,241,186,78.0,97.90625,75.5625,51,51
1,50,214,170,81.25,86.9375,69.0625,50,50
1,21,161,112,34.125,65.40625,45.5,78,78
1,12,193,63,19.5,78.40625,25.59375,42,42
1,50,183,206,81.25,74.34375,83.6875,45,45
1,8,74,73,13.0,30.0625,29.65625,52,52
1,44,100,190,71.5,40.625,77.1875,57,57
1,7,126,56,11.375,51.1875,22.75,61,61
1,22,224,111,35.75,91.0,45.09375,65,65
1,11,113,72,17.875,45.90625,29.25,63,63
1,29,176,105,47.125,71.5,42.65625,64,64
1,53,23,209,86.125,9.34375,84.90625,54,54
1,43,105,161,69.875,42.65625,65.40625,56,56
1,50,239,176,81.25,97.09375,71.5,62,62
1,58,185,170,94.25,75.15625,69.0625,59,59
1,22,88,95,35.75,35.75,38.59375,72,72
1,21,58,138,34.125,23.5625,56.0625,89,89
1,36,221,163,58.5,89.78125,66.21875,71,71
1,13,104,106,21.125,42.25,43.0625,70,70
1,14,169,69,22.75,68.65625,28.03125,69,69
1,32,178,139,52.0,72.3125,56.46875,80,80
1,14,67,83,22.75,27.21875,33.71875,79,79
1,7,202,52,11.375,82.0625,21.125,75,75
1,55,210,185,89.375,85.3125,75.15625,67,67
1,26,124,104,42.25,50.375,42.25,73,73
1,13,168,88,21.125,68.25,35.75,68,68
1,44,49,175,71.5,19.90625,71.09375,34,124
1,8,161,61,13.0,65.40625,24.78125,77,77
1,31,189,162,50.375,76.78125,65.8125,88,88
1,50,127,207,81.25,51.59375,84.09375,76,76
1,25,188,119,40.625,76.375,48.34375,83,83
1,28,142,128,45.5,57.6875,52.0,123,125
1,8,29,107,13.0,11.78125,43.46875,66,66
1,46,147,194,74.75,59.71875,78.8125,82,82
1,7,82,105,11.375,33.3125,42.65625,85,85
1,40,108,177,65.0,43.875,71.90625,86,86
1,45,169,196,73.125,68.65625,79.625,97,97
1,25,231,138,40.625,93.84375,56.0625,124,126
1,26,117,131,42.25,47.53125,53.21875,91,91
1,27,163,141,43.875,66.21875,57.28125,95,95
1,28,12,162,45.5,4.875,65.8125,115,127
1,43,204,172,69.875,82.875,69.875,84,84
1,35,206,146,56.875,83.6875,59.3125,96,96
1,22,40,152,35.75,16.25,61.75,102,102
1,17,248,114,27.625,100.75,46.3125,92,92
1,11,87,62,17.875,35.34375,25.1875,98,98
1,48,46,222,78.0,18.6875,90.1875,125,128
1,13,143,97,21.125,58.09375,39.40625,94,94
1,35,117,186,56.875,47.53125,75.5625,126,129
1,10,213,89,16.25,86.53125,36.15625,99,99
1,54,129,187,87.75,52.40625,75.96875,127,130
1,15,14,132,24.375,5.6875,53.625,101,101
1,38,69,185,61.75,28.03125,75.15625,87,87
1,28,52,163,45.5,21.125,66.21875,103,103
1,53,164,212,86.125,66.625,86.125,128,131
1,5,232,77,8.125,94.25,31.28125,129,132
1,54,144,244,87.75,58.5,99.125,104,104
1,12,35,139,19.5,14.21875,56.46875,112,112
1,54,118,235,87.75,47.9375,95.46875,90,90
1,15,62,113,24.375,25.1875,45.90625,105,105
1,30,107,146,48.75,43.46875,59.3125,100,100
1,22,84,157,35.75,34.125,63.78125,81,81
1,22,127,161,35.75,51.59375,65.40625,113,113
1,21,80,140,34.125,32.5,56.875,111,111
1,17,180,103,27.625,73.125,41.84375,109,109
1,10,189,98,16.25,76.78125,39.8125,110,110
1,28,96,163,45.5,39.0,66.21875,130,133
1,26,201,161,42.25,81.65625,65.40625,131,134
1,33,141,191,53.625,57.28125,77.59375,114,114
1,6,183,84,9.75,74.34375,34.125,108,108
1,45,80,201,73.125,32.5,81.65625,107,107
1,50,223,196,81.25,90.59375,79.625,132,135
1,35,14,225,56.875,5.6875,91.40625,118,118
1,24,51,183,39.0,20.71875,74.34375,117,117
1,32,25,172,52.0,10.15625,69.875,115,136
1,40,104,223,65.0,42.25,90.59375,122,122
1,14,236,94,22.75,95.875,38.1875,116,116
1,36,141,168,58.5,57.28125,68.25,119,119
1,16,207,107,26.0,84.09375,43.46875,120,120
2,42,7,176,68.25,2.84375,71.5,0,0
2,19,106,85,30.875,43.0625,34.53125,5,5
2,22,184,87,35.75,74.75,35.34375,2,2
2,25,59,110,40.625,23.96875,44.6875,10,10
2,50,104,176,81.25,42.25,71.5,1,1
2,28,241,106,45.5,97.90625,43.0625,15,15
2,37,95,134,60.125,38.59375,54.4375,6,6
2,11,13,89,17.875,5.28125,36.15625,4,4
2,14,142,73,22.75,57.6875,29.65625,7,7
2,53,139,179,86.125,56.46875,72.71875,3,3
2,31,9,149,50.375,3.65625,60.53125,21,21
2,9,231,59,14.625,93.84375,23.96875,12,12
2,47,166,159,76.375,67.4375,64.59375,8,8
2,26,156,96,42.25,63.375,39.0,23,23
2,55,58,202,89.375,23.5625,82.0625,14,14
2,29,94,118,47.125,38.1875,47.9375,13,13
2,35,45,137,56.875,18.28125,55.65625,17,17
2,37,222,122,60.125,90.1875,49.5625,31,31
2,58,9,226,94.25,3.65625,91.8125,18,18
2,49,44,194,79.625,17.875,78.8125,34,123
2,48,190,159,78.0,77.1875,64.59375,16,16
2,47,14,196,76.375,5.6875,79.625,19,19
2,29,219,105,47.125,88.96875,42.65625,33,33
2,43,59,153,69.875,23.96875,62.15625,37,37
2,36,72,136,58.5,29.25,55.25,43,43
2,19,52,96,30.875,21.125,39.0,25,25
2,37,124,135,60.125,50.375,54.84375,30,30
2,21,26,108,34.125,10.5625,43.875,41,41
2,44,211,146,71.5,85.71875,59.3125,22,22
2,10,37,83,16.25,15.03125,33.71875,26,26
2,56,175,192,91.0,71.09375,78.0,9,9
2,57,150,223,92.625,60.9375,90.59375,11,11
2,35,199,120,56.875,80.84375,48.75,44,44
2,42,240,134,68.25,97.5,54.4375,48,48
2,5,157,49,8.125,63.78125,19.90625,133,137
2,27,43,122,43.875,17.46875,49.5625,32,32
2,46,30,175,74.75,12.1875,71.09375,39,39
2,36,147,127,58.5,59.71875,51.59375,20,20
2,44,249,153,71.5,101.15625,62.15625,49,49
2,41,182,141,66.625,73.9375,57.28125,58,58
2,16,221,72,26.0,89.78125,29.25,27,27
2,33,28,145,53.625,11.375,58.90625,134,138
2,36,126,154,58.5,51.1875,62.5625,38,38
2,13,193,64,21.125,78.40625,26.0,42,42
