frame,z,y,x
0,17,143,82
0,35,211,161
0,35,222,164
0,53,210,208
0,29,192,162
0,11,78,65
0,42,102,184
0,22,77,145
0,23,87,93
0,23,119,160
0,23,131,159
0,22,202,72
0,37,115,183
0,46,179,190
0,46,186,192
0,46,194,192
0,49,206,176
0,14,105,107
0,5,222,48
0,14,216,69
0,24,47,181
0,26,226,136
0,10,39,84
0,14,67,81
0,27,89,163
0,31,175,138
0,35,146,126
0,9,207,87
0,46,168,197
0,13,103,96
0,17,44,93
0,18,168,111
0,22,80,135
0,42,53,170
0,40,137,189
0,5,56,128
0,6,67,125
0,5,34,70
0,8,80,106
0,7,117,58
0,7,124,50
0,7,126,59
0,11,113,74
0,11,112,65
0,13,29,131
0,13,30,141
0,14,38,130
0,14,39,140
0,13,94,69
0,12,96,60
0,13,135,98
0,13,141,98
0,13,141,68
0,13,147,99
0,13,153,97
0,13,162,90
0,14,167,68
0,13,189,65
0,13,196,59
0,13,202,62
0,13,210,59
0,17,99,85
0,17,109,80
0,17,109,90
0,18,51,99
0,21,77,123
0,21,85,125
0,21,217,112
0,22,225,113
0,22,70,136
0,23,27,157
0,23,35,146
0,23,37,157
0,23,70,154
0,23,72,162
0,23,80,155
0,23,79,162
0,23,214,68
0,23,214,77
0,23,221,71
0,24,40,124
0,25,106,127
0,26,110,137
0,25,118,130
0,25,127,100
0,25,229,100
0,26,151,91
0,27,94,113
0,27,151,100
0,27,160,100
0,27,160,137
0,27,162,146
0,29,44,165
0,29,54,165
0,28,174,107
0,29,215,130
0,33,69,131
0,33,134,194
0,33,143,184
0,33,144,195
0,35,92,129
0,36,192,120
0,38,61,190
0,37,72,185
0,37,71,194
0,40,90,220
0,40,101,218
0,43,50,202
0,45,45,196
0,45,73,197
0,45,77,205
0,45,82,194
0,45,86,202
0,45,100,197
0,45,110,196
0,46,30,177
0,46,39,190
0,45,42,178
0,47,142,198
0,47,146,189
0,47,152,196
0,47,156,161
0,47,163,159
0,47,170,161
0,49,118,208
0,49,129,201
0,49,129,211
0,49,181,206
0,51,85,212
0,51,85,220
0,51,94,211
0,51,95,220
0,51,138,173
0,52,142,182
0,55,59,200
0,58,68,228
0,58,84,216
0,11,188,95
0,27,138,129
0,21,60,139
0,49,50,227
0,58,200,245
0,19,175,76
0,33,27,148
0,13,164,80
0,40,227,132
0,45,200,153
0,55,170,189
0,6,197,48
0,20,51,144
0,25,189,123
0,27,208,101
0,28,103,155
0,54,127,183
0,6,179,81
0,6,205,46
0,8,26,103
0,8,27,113
0,8,33,101
0,8,34,110
0,8,44,72
0,3,159,42
0,7,159,53
0,12,186,55
0,15,51,113
0,15,59,107
0,15,59,117
0,15,67,111
0,16,172,98
0,16,178,105
0,16,178,113
0,16,181,97
0,16,185,107
0,16,191,107
0,16,196,100
0,16,196,111
0,16,204,99
0,16,206,107
0,16,204,114
0,16,240,117
0,16,248,114
0,16,247,122
0,20,48,134
0,20,56,130
0,20,153,115
0,20,153,122
0,20,159,111
0,20,159,117
0,20,159,124
0,20,165,124
0,20,173,82
0,20,175,89
0,20,179,83
0,20,181,90
0,20,182,74
0,20,187,79
0,20,188,85
0,20,186,92
0,24,32,117
0,24,53,107
0,24,55,115
0,24,59,103
0,24,61,111
0,24,61,118
0,24,66,101
0,24,67,108
0,24,69,116
0,24,73,104
0,24,73,112
0,24,114,96
0,24,115,105
0,24,179,120
0,25,188,112
0,28,101,144
0,28,109,147
0,28,174,97
0,28,206,108
0,32,29,170
0,32,29,179
0,32,26,140
0,32,30,134
0,32,33,141
0,32,34,128
0,32,38,135
0,32,40,124
0,32,43,132
0,32,47,123
0,32,50,130
0,32,131,185
0,34,198,150
0,35,202,143
0,35,5,225
0,35,13,223
0,35,209,144
0,36,86,138
0,36,94,140
0,36,103,132
0,36,115,133
0,36,117,155
0,36,119,163
0,36,121,128
0,36,122,136
0,36,123,153
0,36,124,161
0,36,129,127
