id,dataset,row_type,node_id,t,z,y,x,source_id,target_id
0,synth1,node,100,0,16,45,68,-1,-1
1,synth1,node,101,1,17,43,69,-1,-1
2,synth1,node,102,2,17,42,70,-1,-1
3,synth1,node,103,3,18,41,72,-1,-1
4,synth1,node,200,0,16,64,27,-1,-1
5,synth1,node,201,1,16,64,28,-1,-1
6,synth1,node,202,2,16,64,30,-1,-1
7,synth1,node,203,3,16,63,30,-1,-1
8,synth1,node,204,4,16,63,32,-1,-1
9,synth1,node,205,5,16,62,32,-1,-1
10,synth1,node,206,6,16,61,34,-1,-1
11,synth1,node,207,7,15,61,35,-1,-1
12,synth1,node,300,0,14,66,45,-1,-1
13,synth1,node,301,1,14,66,44,-1,-1
14,synth1,node,302,2,14,66,43,-1,-1
15,synth1,node,303,3,13,66,41,-1,-1
16,synth1,node,304,4,12,66,40,-1,-1
17,synth1,node,305,5,11,66,39,-1,-1
18,synth1,node,400,0,17,55,62,-1,-1
19,synth1,node,401,1,17,57,64,-1,-1
20,synth1,node,402,2,16,58,65,-1,-1
21,synth1,node,403,3,17,59,66,-1,-1
22,synth1,node,404,4,16,60,67,-1,-1
23,synth1,node,405,5,16,61,68,-1,-1
24,synth1,node,406,6,16,62,69,-1,-1
25,synth1,node,407,7,16,64,70,-1,-1
26,synth1,node,504,4,18,42,71,-1,-1
27,synth1,node,505,5,19,41,72,-1,-1
28,synth1,node,506,6,20,40,73,-1,-1
29,synth1,node,507,7,21,39,74,-1,-1
30,synth1,node,604,4,17,43,70,-1,-1
31,synth1,node,605,5,17,41,70,-1,-1
32,synth1,node,606,6,17,41,71,-1,-1
33,synth1,node,607,7,16,40,71,-1,-1
34,synth1,node,706,6,12,65,42,-1,-1
35,synth1,node,707,7,11,66,41,-1,-1
36,synth1,node,806,6,10,64,41,-1,-1
37,synth1,node,807,7,10,65,40,-1,-1
38,synth1,edge,-1,-1,-1,-1,-1,100,101
39,synth1,edge,-1,-1,-1,-1,-1,101,102
40,synth1,edge,-1,-1,-1,-1,-1,102,103
41,synth1,edge,-1,-1,-1,-1,-1,200,201
42,synth1,edge,-1,-1,-1,-1,-1,201,202
43,synth1,edge,-1,-1,-1,-1,-1,202,203
44,synth1,edge,-1,-1,-1,-1,-1,203,204
45,synth1,edge,-1,-1,-1,-1,-1,204,205
46,synth1,edge,-1,-1,-1,-1,-1,205,206
47,synth1,edge,-1,-1,-1,-1,-1,206,207
48,synth1,edge,-1,-1,-1,-1,-1,300,301
49,synth1,edge,-1,-1,-1,-1,-1,301,302
50,synth1,edge,-1,-1,-1,-1,-1,302,303
51,synth1,edge,-1,-1,-1,-1,-1,303,304
52,synth1,edge,-1,-1,-1,-1,-1,304,305
53,synth1,edge,-1,-1,-1,-1,-1,400,401
54,synth1,edge,-1,-1,-1,-1,-1,401,402
55,synth1,edge,-1,-1,-1,-1,-1,402,403
56,synth1,edge,-1,-1,-1,-1,-1,403,404
57,synth1,edge,-1,-1,-1,-1,-1,404,405
58,synth1,edge,-1,-1,-1,-1,-1,405,406
59,synth1,edge,-1,-1,-1,-1,-1,406,407
60,synth1,edge,-1,-1,-1,-1,-1,504,505
61,synth1,edge,-1,-1,-1,-1,-1,505,506
62,synth1,edge,-1,-1,-1,-1,-1,506,507
63,synth1,edge,-1,-1,-1,-1,-1,604,605
64,synth1,edge,-1,-1,-1,-1,-1,605,606
65,synth1,edge,-1,-1,-1,-1,-1,606,607
66,synth1,edge,-1,-1,-1,-1,-1,706,707
67,synth1,edge,-1,-1,-1,-1,-1,806,807
68,synth1,edge,-1,-1,-1,-1,-1,103,504
69,synth1,edge,-1,-1,-1,-1,-1,103,604
70,synth1,edge,-1,-1,-1,-1,-1,305,706
71,synth1,edge,-1,-1,-1,-1,-1,305,806
