frame,z,y,x,z_um,y_um,x_um,tree_id,track_id
0,14,66,45,22.75,26.8125,18.28125,0,0
0,16,64,27,26.0,26.0,10.96875,1,1
0,17,55,63,27.625,22.34375,25.59375,2,2
0,16,45,68,26.0,18.28125,27.625,3,3
1,16,64,28,26.0,26.0,11.375,1,1
1,14,66,44,22.75,26.8125,17.875,0,0
1,17,43,69,27.625,17.46875,28.03125,3,3
1,17,57,64,27.625,23.15625,26.0,2,2
2,17,42,70,27.625,17.0625,28.4375,3,3
2,16,64,30,26.0,26.0,12.1875,1,1
2,16,58,65,26.0,23.5625,26.40625,2,2
2,14,66,43,22.75,26.8125,17.46875,0,0
3,18,41,71,29.25,16.65625,28.84375,3,3
3,13,66,42,21.125,26.8125,17.0625,0,0
3,16,63,30,26.0,25.59375,12.1875,1,1
3,17,59,66,27.625,23.96875,26.8125,2,2
4,18,42,70,29.25,17.0625,28.4375,3,3
4,16,63,32,26.0,25.59375,13.0,1,1
4,16,60,67,26.0,24.375,27.21875,2,2
4,12,66,40,19.5,26.8125,16.25,0,0
5,18,41,71,29.25,16.65625,28.84375,3,3
5,16,61,68,26.0,24.78125,27.625,2,2
5,11,66,39,17.875,26.8125,15.84375,0,0
5,16,62,32,26.0,25.1875,13.0,1,1
6,11,65,41,17.875,26.40625,16.65625,0,0
6,18,41,72,29.25,16.65625,29.25,3,3
6,16,62,69,26.0,25.1875,28.03125,2,2
6,16,61,34,26.0,24.78125,13.8125,1,1
7,10,66,41,16.25,26.8125,16.65625,0,0
7,16,64,70,26.0,26.0,28.4375,2,2
7,20,39,74,32.5,15.84375,30.0625,3,4
7,16,40,71,26.0,16.25,28.84375,3,5
7,15,61,35,24.375,24.78125,14.21875,1,1
