prob_threshold,min_distance,min_size,n_detections,edge_tp,edge_fp,edge_fn,adj_edge_jaccard,division_jaccard,score
0.5,10,100,2196,560,128,641,0.4483544830014725,0.0,0.4483544830014725
0.5,10,200,2111,545,128,656,0.4369157597462755,0.0,0.4369157597462755
0.7,10,100,1526,499,69,702,0.4223867151287602,0.0,0.4223867151287602
0.5,10,400,1810,517,120,684,0.41890771526252685,0.0,0.41890771526252685
0.5,8,100,2999,586,286,615,0.41413783272505594,0.0,0.41413783272505594
0.5,8,400,2270,549,220,652,0.4106216871146239,0.0,0.4106216871146239
0.7,10,200,1409,480,58,721,0.4105841900978746,0.0,0.4105841900978746
0.5,8,200,2853,569,283,632,0.4038531630663764,0.0,0.4038531630663764
0.7,8,100,2121,523,193,678,0.39966705657289575,0.0,0.39966705657289575
0.7,8,200,1891,496,179,705,0.3842330611344074,0.0,0.3842330611344074
0.7,10,400,1052,408,43,793,0.35512197536220363,0.0,0.35512197536220363
0.7,8,400,1246,416,132,785,0.33691855090840017,0.0,0.33691855090840017
